1,Sean,McVay,16000000,19
2,Bill,Belichick,12500000,22
3,Pete,Carroll,11000000,29
4,Kyle,Shanahan,9500000,28
5,John,Harbaugh,9000000,3
6,Franck,Reich,9000000,14
7,Matt,Rhule,8500000,5
8,Mike,Tomlin,8000000,27
9,Andy,Reid,8000000,16
10,Sean,McDermott,8000000,4
11,Ron,Rivera,7000000,32
12,Nick,Sirianni,6500000,26
13,Kliff,Kingsbury,5500000,1
14,Matt,LaFleur,5000000,12
15,Robert,Saleh,5000000,25
16,Zac,Taylor,4500000,7
17,Mike,McCarthy,4000000,9
18,Nathaniel,Hackett,4000000,10
19,Kevin,Stefanski,4000000,8
20,Mike,Vrabel,3000000,31
21,Brandon,Staley,3000000,18
22,Dan,Campbell,3000000,11
23,Arthur,Smith,2500000,2
24,Todd,Bowles,2500000,30
25,Dennis,Allen,2500000,23
26,Doug,Pederson,2000000,15
27,Josh,McDaniels,2000000,17
28,Mike,McDaniel,2000000,20
29,Kevin,OConnell,1500000,21
30,Matt,Eberflus,1500000,6
31,Brian,Daboll,1500000,24
32,Lovie,Smith,1000000,13
