1,Poe,60000,3
2,Billy Buffalo,60000,4
3,Who Dey,55000,7
4,Chomps,55000,8
5,Miles,60000,10
6,Toro,60000,13
7,Blue,50000,14
8,Jaxson de Ville,60000,15
9,Wold,60000,16
10,Raider Rusher,50000,17
11,T.D.,55000,20
12,Pat Patriot,65000,22
13,Steely McBeam,60000,27
14,T-Rac,60000,31
15,Big Red,60000,1
16,Freddie Falcon,50000,2
17,Sir Purr,50000,5
18,Staley Da Bear,60000,6
19,Rowdy,65000,9
20,Roary,60000,11
21,Rampage,50000,19
22,Viktor,50000,21
23,Gumbo,50000,23
24,Swoop,60000,26
25,Sourdough Sam,60000,28
26,Blitz,50000,29
27,Captain Fear,50000,30
